code,display_tr,display_en,icd10_suggestion,body_region,retired_at
ANAMNEZ-SYM-0032,ateşle birlikte üşüme/titreme,Fever with chills,R50.0,constitutional,
ANAMNEZ-SYM-0033,atipik yüz ağrısı,atypical facial pain,G50.1,head_neck,
ANAMNEZ-SYM-0034,ayak ağrısı,foot pain,M25.57,musculoskeletal,
ANAMNEZ-SYM-0035,ayak bileği ağrısı,ankle pain,M25.57,musculoskeletal,
ANAMNEZ-SYM-0036,ayak bileği şişliği,ankle swelling,M25.47,musculoskeletal,
ANAMNEZ-SYM-0037,ayak/bilek şişmesi,Ankle/foot swelling,R60.0,cardiovascular,
ANAMNEZ-SYM-0038,ayağa kalkınca baş dönmesi,Dizziness on standing,R42,cardiovascular,
ANAMNEZ-SYM-0039,az idrar çıkışı (oligüri),oliguria,R34,genitourinary,
ANAMNEZ-SYM-0040,açlık karın ağrısı,Hunger-related (fasting) abdominal pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0041,açıklanamayan bedensel yakınmalar,Medically unexplained physical symptoms,,psychiatric,
ANAMNEZ-SYM-0042,ağlama nöbetleri,Tearfulness / crying spells,R45.89,psychiatric,
ANAMNEZ-SYM-0043,ağrılı adet / dismenore,Dysmenorrhoea (painful menstruation),N94.6,gynecologic,
ANAMNEZ-SYM-0044,ağrılı yutma,painful swallowing,R13,ent,
ANAMNEZ-SYM-0045,ağrılı yutma (odinofaji),Odynophagia,R13,gastrointestinal,
ANAMNEZ-SYM-0046,ağza acı/ekşi su gelmesi,Regurgitation,R12,gastrointestinal,
ANAMNEZ-SYM-0047,ağız kokusu (halitozis),Halitosis,R19.6,gastrointestinal,
ANAMNEZ-SYM-0048,ağız kuruluğu,Dry mouth,R68.2,constitutional,
ANAMNEZ-SYM-0049,ağız solunumu,mouth breathing,R06.5,ent,
ANAMNEZ-SYM-0050,ağızdan solunum,mouth breathing,R06.5,respiratory,
ANAMNEZ-SYM-0051,aşırı adet kanaması / menoraji,Heavy menstrual bleeding (menorrhagia),N92.0,gynecologic,
ANAMNEZ-SYM-0052,aşırı aktivite,Overactivity,R46.3,psychiatric,
ANAMNEZ-SYM-0053,aşırı ağlama / infantil kolik,Excessive crying / infantile colic,R68.1,pediatric,
ANAMNEZ-SYM-0054,aşırı gaz çıkarma,Excessive flatus,R14.3,gastrointestinal,
ANAMNEZ-SYM-0055,aşırı gündüz uykululuğu,Excessive daytime sleepiness,G47.1,psychiatric,
ANAMNEZ-SYM-0056,aşırı iştah,Polyphagia / increased appetite,R63.2,gastrointestinal,
ANAMNEZ-SYM-0057,aşırı terleme,Excessive sweating / hyperhidrosis,R61.9,constitutional,
ANAMNEZ-SYM-0058,bacak ağrısı,leg pain,M79.66,musculoskeletal,
ANAMNEZ-SYM-0059,bacak kası ağrısı,lower-leg myalgia,M79.16,musculoskeletal,
ANAMNEZ-SYM-0060,bacaklarda şişlik,Leg swelling,R60.0,cardiovascular,
ANAMNEZ-SYM-0061,baldır ağrısı,calf pain,M79.66,musculoskeletal,
ANAMNEZ-SYM-0062,balgamlı öksürük,productive cough,R05,respiratory,
ANAMNEZ-SYM-0063,baskı tarzı göğüs ağrısı,Pressure-like chest pain,R07.3,cardiovascular,
ANAMNEZ-SYM-0064,batıcı göğüs ağrısı,Stabbing chest pain,R07.3,cardiovascular,
ANAMNEZ-SYM-0065,batık tırnak,ingrowing nail,L60.0,skin,
ANAMNEZ-SYM-0066,bayılacak gibi olma / presenkop,Pre-syncope / near-fainting,R55,cardiovascular,
ANAMNEZ-SYM-0067,bayılma,Syncope,R55,cardiovascular,
ANAMNEZ-SYM-0068,bağırsak alışkanlığında değişiklik,Change in bowel habit,R19.4,gastrointestinal,
ANAMNEZ-SYM-0069,baş ağrısı,headache,R51,head_neck,
ANAMNEZ-SYM-0070,baş dönmesi,Dizziness,R42,neurological,
ANAMNEZ-SYM-0071,başta şişlik/kitle,head swelling / mass,R22.0,head_neck,
ANAMNEZ-SYM-0072,bebekte beslenme güçlüğü,Feeding difficulty in infant,R63.3,pediatric,
ANAMNEZ-SYM-0073,bel ağrısı,low back pain (lumbalgia),M54.5,musculoskeletal,
ANAMNEZ-SYM-0074,bel tutulması,acute low back stiffness/lock,M54.5,musculoskeletal,
ANAMNEZ-SYM-0075,bel ve bacak ağrısı,lumbago with sciatica,M54.4,musculoskeletal,
ANAMNEZ-SYM-0076,bez bölgesi döküntüsü,Diaper rash / dermatitis,L22,pediatric,
ANAMNEZ-SYM-0077,beşik şapkası (süt kabuğu),Cradle cap,L21.1,pediatric,
ANAMNEZ-SYM-0078,bilinç kaybı,Loss of consciousness,R40.2,neurological,
ANAMNEZ-SYM-0079,bitkinlik / tükenmişlik,Exhaustion,R53,constitutional,
ANAMNEZ-SYM-0080,boyun ağrısı,neck pain,M54.2,head_neck,
ANAMNEZ-SYM-0081,boyun tutulması,stiff neck,M54.2,head_neck,
ANAMNEZ-SYM-0082,boyunda damar dolgunluğu,Jugular venous distension,R09.88,cardiovascular,
ANAMNEZ-SYM-0083,boyunda hareket kısıtlılığı,limited neck range of motion,M54.2,head_neck,
ANAMNEZ-SYM-0084,boyunda kas spazmı,neck muscle spasm,R25.2,head_neck,
ANAMNEZ-SYM-0085,boyunda lenf bezi şişliği,cervical lymph node swelling,R59.0,head_neck,
ANAMNEZ-SYM-0086,boyunda şişlik/kitle,neck swelling / mass,R22.1,head_neck,
ANAMNEZ-SYM-0087,boğaz ağrısı,sore throat,R07.0,ent,
ANAMNEZ-SYM-0088,boğazda kaşıntı,throat itching,R09.89,ent,
ANAMNEZ-SYM-0089,boğazda kuruluk,throat dryness,R09.89,ent,
ANAMNEZ-SYM-0090,boğazda takılma hissi,Globus sensation,R13,gastrointestinal,
ANAMNEZ-SYM-0091,boğazda yabancı cisim hissi,globus sensation,R13,ent,
ANAMNEZ-SYM-0092,boğazdan kan gelmesi,haemorrhage from throat,R04.1,respiratory,
ANAMNEZ-SYM-0093,boğazdan kanama,bleeding from throat,R04.1,ent,
ANAMNEZ-SYM-0094,boğulma hissi,choking sensation,R09.89,respiratory,
ANAMNEZ-SYM-0095,bulantı,Nausea,R11,gastrointestinal,
ANAMNEZ-SYM-0096,bulanık idrar,cloudy urine,R39.8,genitourinary,
ANAMNEZ-SYM-0097,burun akıntısı,rhinorrhea,R09.89,ent,
ANAMNEZ-SYM-0098,burun ağrısı,nasal pain,R07.0,ent,
ANAMNEZ-SYM-0099,burun kanaması,epistaxis,R04.0,ent,
ANAMNEZ-SYM-0100,burun kaşıntısı,nasal itching,R09.89,ent,
ANAMNEZ-SYM-0101,burun tıkanıklığı,nasal obstruction,J34.8,ent,
ANAMNEZ-SYM-0102,burunda kuruluk,nasal dryness,R09.89,ent,
ANAMNEZ-SYM-0103,böğür ağrısı (kolik),renal colic,N23,genitourinary,
ANAMNEZ-SYM-0104,bül / büyük su toplaması,bulla / blister,R23.8,skin,
ANAMNEZ-SYM-0105,büyüme geriliği,Failure to thrive / growth retardation,R62.8,pediatric,
ANAMNEZ-SYM-0106,büyüme geriliği (çocuk),Failure to thrive / delayed development,R62.8,constitutional,
ANAMNEZ-SYM-0107,ciltte açılma / beyaz lekeler,hypopigmentation / white patches,L81.5,skin,
ANAMNEZ-SYM-0108,ciltte koyulaşma,skin hyperpigmentation,L81.9,skin,
ANAMNEZ-SYM-0109,cinsel istek azalması,decreased libido,F52.0,genitourinary,
ANAMNEZ-SYM-0110,demoralizasyon,Demoralization,R45.3,psychiatric,
ANAMNEZ-SYM-0111,dengesizlik hissi,Unsteadiness / disequilibrium,R27.8,neurological,
ANAMNEZ-SYM-0112,deri anestezisi,Anaesthesia of skin,R20.0,neurological,
ANAMNEZ-SYM-0113,deri ağrısı,skin pain,L98.9,skin,
ANAMNEZ-SYM-0114,deri değişikliği (tanımsız),other and unspecified skin change,R23.8,skin,
ANAMNEZ-SYM-0115,deri hipoestezisi,Hypoaesthesia of skin,R20.1,neurological,
ANAMNEZ-SYM-0116,deri yapısında değişiklik,change in skin texture,R23.4,skin,
ANAMNEZ-SYM-0117,deri yarası / yara,skin wound / sore,L98.9,skin,
ANAMNEZ-SYM-0118,deri ülseri,skin ulcer,L98.4,skin,
ANAMNEZ-SYM-0119,deride aşırı duyarlılık,hyperaesthesia,R20.3,skin,
ANAMNEZ-SYM-0120,deride karıncalanma,paraesthesia of skin,R20.2,skin,
ANAMNEZ-SYM-0121,deride kuruluk,dry skin / xerosis,L85.3,skin,
ANAMNEZ-SYM-0122,deride uyuşma,skin numbness / anaesthesia,R20.0,skin,
ANAMNEZ-SYM-0123,deride yanma hissi,burning skin sensation,R20.8,skin,
ANAMNEZ-SYM-0124,deride yumru (lokalize),"localized lump, unspecified site",R22.9,skin,
ANAMNEZ-SYM-0125,deride şişlik / kitle,"skin swelling, mass, lump",R22.9,skin,
ANAMNEZ-SYM-0126,dirsek ağrısı,elbow pain,M25.52,musculoskeletal,
ANAMNEZ-SYM-0127,disparoni / ilişkide ağrı,Dyspareunia,N94.1,gynecologic,
ANAMNEZ-SYM-0128,diz ağrısı,knee pain,M25.56,musculoskeletal,
ANAMNEZ-SYM-0129,diz sertliği,knee stiffness,M25.66,musculoskeletal,
ANAMNEZ-SYM-0130,diz şişliği,knee swelling/effusion,M25.46,musculoskeletal,
ANAMNEZ-SYM-0131,dizartri / peltek konuşma,Dysarthria / slurred speech,R47.1,neurological,
ANAMNEZ-SYM-0132,diş çıkarma şikayetleri,Teething complaints,K00.7,pediatric,
ANAMNEZ-SYM-0133,doğumla ilişkisiz galaktore,Non-puerperal galactorrhoea,N64.3,gynecologic,
ANAMNEZ-SYM-0134,duygusal stres tepkisi,Emotional stress reaction,R45.7,psychiatric,
ANAMNEZ-SYM-0135,döküntü,rash / skin eruption,R21,skin,
ANAMNEZ-SYM-0136,dönme hissi / gerçek vertigo,True vertigo (spinning sensation),H81.9,neurological,
ANAMNEZ-SYM-0137,düzensiz aşırı adet kanaması,Heavy bleeding with irregular cycle,N92.1,gynecologic,
ANAMNEZ-SYM-0138,düzensiz kalp atışı hissi,Sensation of irregular heartbeat,R00.2,cardiovascular,
ANAMNEZ-SYM-0139,düzensiz solunum,irregular breathing,R06.8,respiratory,
ANAMNEZ-SYM-0140,düşmanlık,Hostility,R45.5,psychiatric,
ANAMNEZ-SYM-0141,düşme,Fall,R29.81,neurological,
ANAMNEZ-SYM-0142,düşme eğilimi,Tendency to fall,R29.81,neurological,
ANAMNEZ-SYM-0143,düşük ayak,Foot drop,R29.88,neurological,
ANAMNEZ-SYM-0144,düşük postür / duruş bozukluğu,abnormal posture,R29.3,musculoskeletal,
ANAMNEZ-SYM-0145,düşük tansiyon ölçümü (nonspesifik),Low blood pressure reading (nonspecific),R03.1,cardiovascular,
ANAMNEZ-SYM-0146,dışkı kaçırma,Soiling / encopresis,R15,gastrointestinal,
ANAMNEZ-SYM-0147,dışkıda mukus,Mucus in stool,R19.5,gastrointestinal,
ANAMNEZ-SYM-0148,dışkılama urgency,Fecal urgency,R19.8,gastrointestinal,
ANAMNEZ-SYM-0149,efor dispnesi,exertional dyspnoea,R06.0,respiratory,
ANAMNEZ-SYM-0150,efor göğüs ağrısı,Exertional chest pain,R07.3,cardiovascular,
ANAMNEZ-SYM-0151,ejakülasyonda ağrı,painful ejaculation,N50.8,genitourinary,
ANAMNEZ-SYM-0152,eklem ağrısı,joint pain (arthralgia),M25.59,musculoskeletal,
ANAMNEZ-SYM-0153,eklem sertliği,joint stiffness,M25.69,musculoskeletal,
ANAMNEZ-SYM-0154,eklemde kilitlenme,joint locking,M25.69,musculoskeletal,
ANAMNEZ-SYM-0155,eklemde takılma hissi,joint catching sensation,M25.89,musculoskeletal,
ANAMNEZ-SYM-0156,eklemde çıtırtı / krepitasyon,joint crepitus,M25.89,musculoskeletal,
ANAMNEZ-SYM-0157,eklemde şişlik,joint swelling (effusion),M25.49,musculoskeletal,
ANAMNEZ-SYM-0158,ekstremitede ağrı,pain in limb,M79.69,musculoskeletal,
ANAMNEZ-SYM-0159,ekstremitelerde uyuşma (vasküler),Limb numbness (vascular),R20.2,cardiovascular,
ANAMNEZ-SYM-0160,ekşime,Acid regurgitation / sour eructation,R12,gastrointestinal,
ANAMNEZ-SYM-0161,el ağrısı,hand pain,M25.54,musculoskeletal,
ANAMNEZ-SYM-0162,el bileği ağrısı,wrist pain,M25.53,musculoskeletal,
ANAMNEZ-SYM-0163,emme güçlüğü (memede),Difficulty latching / breastfeeding difficulty,P92.5,pediatric,
ANAMNEZ-SYM-0164,emmeyi reddetme,Refusal to feed / breast,R63.3,pediatric,
ANAMNEZ-SYM-0165,endişe,Worry,R46.6,psychiatric,
ANAMNEZ-SYM-0166,enkoprezis / dışkı kaçırma (çocuk),Encopresis,F98.1,pediatric,
ANAMNEZ-SYM-0167,ense ağrısı,nape / posterior neck pain,M54.2,head_neck,
ANAMNEZ-SYM-0168,ense sertliği (meningismus),neck stiffness / meningismus,R29.1,head_neck,
ANAMNEZ-SYM-0169,ense sertliği / meningismus,Neck stiffness / meningismus,R29.1,neurological,
ANAMNEZ-SYM-0170,enürezis (gece altını ıslatma),nocturnal enuresis,R32,genitourinary,
ANAMNEZ-SYM-0171,epigastrik ağrı,Epigastric pain,R10.1,gastrointestinal,
ANAMNEZ-SYM-0172,erken boşalma,premature ejaculation,F52.4,genitourinary,
ANAMNEZ-SYM-0173,erken doyma,Early satiety,K30,gastrointestinal,
ANAMNEZ-SYM-0174,erken uyanma,Early morning awakening,G47.0,psychiatric,
ANAMNEZ-SYM-0175,febril konvülsiyon,Febrile convulsion,R56.0,neurological,
ANAMNEZ-SYM-0176,febril konvülziyon,Febrile convulsion,R56.0,pediatric,
ANAMNEZ-SYM-0177,frontal baş ağrısı,frontal headache,R51,head_neck,
ANAMNEZ-SYM-0178,gaita inkontinansı,Fecal incontinence,R15,gastrointestinal,
ANAMNEZ-SYM-0179,garip davranış,Strange behaviour,R46.2,psychiatric,
ANAMNEZ-SYM-0180,gaz,Flatulence,R14.3,gastrointestinal,
ANAMNEZ-SYM-0181,gece gelen karın ağrısı,Nocturnal abdominal pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0182,gece görememe,Night blindness,H53.6,eye,
ANAMNEZ-SYM-0183,gece idrara kalkma (noktüri),nocturia,R35,genitourinary,
ANAMNEZ-SYM-0184,gece işemesi (enürezis),Bedwetting / nocturnal enuresis,F98.0,pediatric,
ANAMNEZ-SYM-0185,gece terlemesi,Night sweats,R61.9,constitutional,
ANAMNEZ-SYM-0186,gece terlemesi (menopozal),Night sweats (menopausal),N95.1,gynecologic,
ANAMNEZ-SYM-0187,gece öksürüğü,nocturnal cough,R05,respiratory,
ANAMNEZ-SYM-0188,gecikmiş motor gelişim,Delayed motor milestones,R62.0,pediatric,
ANAMNEZ-SYM-0189,gelişme geriliği,Developmental delay,R62.0,pediatric,
ANAMNEZ-SYM-0190,genel durum bozukluğu,Poor general condition,R53,constitutional,
ANAMNEZ-SYM-0191,genital lezyon / yara,Genital sore (patient-reported),N76.6,gynecologic,
ANAMNEZ-SYM-0192,geniz akıntısı,postnasal drip,R09.89,ent,
ANAMNEZ-SYM-0193,genizden konuşma,nasal speech,R49.2,ent,
ANAMNEZ-SYM-0194,gerilim tipi baş ağrısı,tension-type headache,R51,head_neck,
ANAMNEZ-SYM-0195,geçici bilinç kaybı,Transient loss of consciousness,R55,neurological,
ANAMNEZ-SYM-0196,geğirme,Belching / eructation,R14,gastrointestinal,
ANAMNEZ-SYM-0197,gizli GİS kanaması,Occult gastrointestinal bleeding,K92.2,gastrointestinal,
ANAMNEZ-SYM-0198,göbek çevresi (periumbilikal) ağrı,Periumbilical pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0199,görme alanı daralması,Visual field defect,H53.4,eye,
ANAMNEZ-SYM-0200,görme azlığı,Decreased visual acuity,H53.8,eye,
ANAMNEZ-SYM-0201,görme bulanıklığı,Blurred vision,H53.8,eye,
ANAMNEZ-SYM-0202,görme kaybı,Visual loss,H54.7,eye,
ANAMNEZ-SYM-0203,görülebilen peristaltizm,Visible peristalsis,R19.2,gastrointestinal,
ANAMNEZ-SYM-0204,göz ağrısı,Eye pain,H57.1,eye,
ANAMNEZ-SYM-0205,göz kapağı düşüklüğü,Drooping eyelid / ptosis,H02.4,eye,
ANAMNEZ-SYM-0206,göz kapağı şişliği,Eyelid swelling,H02.8,eye,
ANAMNEZ-SYM-0207,göz kapağında kaşıntı,Eyelid itching,H01.9,eye,
ANAMNEZ-SYM-0208,göz kapağında kızarıklık,Eyelid redness,H01.9,eye,
ANAMNEZ-SYM-0209,göz kuruluğu,Dry eye,H04.1,eye,
ANAMNEZ-SYM-0210,göz kızarıklığı,Red eye,H57.8,eye,
ANAMNEZ-SYM-0211,göz seğirmesi,Eyelid twitch,H02.8,eye,
ANAMNEZ-SYM-0212,gözde batma hissi,Foreign body sensation,H57.8,eye,
ANAMNEZ-SYM-0213,gözde kamaşma,Glare,H53.1,eye,
ANAMNEZ-SYM-0214,gözde kaşıntı,Itchy eye,H10.1,eye,
ANAMNEZ-SYM-0215,gözde kum hissi,Gritty sensation in eye,H04.1,eye,
ANAMNEZ-SYM-0216,gözde sulanma,Watery eye / epiphora,H04.2,eye,
ANAMNEZ-SYM-0217,gözde yabancı cisim hissi,Sensation of foreign body in eye,H57.8,eye,
ANAMNEZ-SYM-0218,gözde yanma,Burning sensation in eye,H57.8,eye,
ANAMNEZ-SYM-0219,gözde çapaklanma,Eye discharge,H10.9,eye,
ANAMNEZ-SYM-0220,göğüs ağrısı,Chest pain,R07.4,cardiovascular,
ANAMNEZ-SYM-0221,göğüste sıkışma hissi,chest tightness,R07.4,respiratory,
ANAMNEZ-SYM-0222,gündüz idrar kaçırma (çocuk),Daytime urinary incontinence (child),R32,pediatric,
ANAMNEZ-SYM-0223,güçsüzlük,Weakness (nonspecific),R53,neurological,
ANAMNEZ-SYM-0224,güçsüzlük (jeneralize),Generalized weakness,R53,constitutional,
ANAMNEZ-SYM-0225,hacim açığı / dehidratasyon bulgusu,Volume depletion / dehydration,E86,constitutional,
ANAMNEZ-SYM-0226,hafif ateş / subfebril ateş,Low-grade fever,R50.9,constitutional,
ANAMNEZ-SYM-0227,hafıza kaybı,Memory loss / amnesia,R41.3,neurological,
ANAMNEZ-SYM-0228,halsizlik,Malaise / general weakness,R53,constitutional,
ANAMNEZ-SYM-0229,hapşırma,sneezing,R06.7,ent,
ANAMNEZ-SYM-0230,hapşırık,sneezing,R06.7,respiratory,
ANAMNEZ-SYM-0231,hapşırık nöbetleri,sneezing fits,R06.7,ent,
ANAMNEZ-SYM-0232,hareket kısıtlılığı,restricted range of motion,M25.69,musculoskeletal,
ANAMNEZ-SYM-0233,hazımsızlık,Indigestion / dyspepsia,K30,gastrointestinal,
ANAMNEZ-SYM-0234,hepatomegali,Hepatomegaly,R16.0,gastrointestinal,
ANAMNEZ-SYM-0235,hiperestezi,Hyperaesthesia,R20.3,neurological,
ANAMNEZ-SYM-0236,hiperventilasyon,hyperventilation,R06.4,respiratory,
ANAMNEZ-SYM-0237,hipotermi (çevresel olmayan),Hypothermia (non-environmental),R68.0,constitutional,
ANAMNEZ-SYM-0238,horlama,snoring,R06.5,ent,
ANAMNEZ-SYM-0239,huzursuz bebek,Fussy / irritable infant,R68.1,pediatric,
ANAMNEZ-SYM-0240,huzursuzluk,Restlessness,R45.1,neurological,
ANAMNEZ-SYM-0241,hırıltı (vizing),wheezing,R06.2,respiratory,
ANAMNEZ-SYM-0242,hızlı kalp atışı / taşikardi yakınması,Tachycardia (as complaint),R00.0,cardiovascular,
ANAMNEZ-SYM-0243,hızlı solunum (takipne),tachypnoea,R06.8,respiratory,
ANAMNEZ-SYM-0244,hıçkırık,Hiccough,R06.6,gastrointestinal,
ANAMNEZ-SYM-0245,idrar başlatmada güçlük,urinary hesitancy,R39.1,genitourinary,
ANAMNEZ-SYM-0246,idrar damlaması (terminal damlatma),terminal dribbling,R39.1,genitourinary,
ANAMNEZ-SYM-0247,idrar kaçırma (inkontinans),urinary incontinence,R32,genitourinary,
ANAMNEZ-SYM-0248,idrar yapamama (retansiyon),urinary retention,R33,genitourinary,
ANAMNEZ-SYM-0249,idrar yaparken ağrı,painful micturition,R30.9,genitourinary,
ANAMNEZ-SYM-0250,idrar yaparken yanma,dysuria,R30.0,genitourinary,
ANAMNEZ-SYM-0251,idrar çıkışı yok (anüri),anuria,R34,genitourinary,
ANAMNEZ-SYM-0252,idrarda taş düşürme,passing urinary stone,N23,genitourinary,
ANAMNEZ-SYM-0253,iki taraflı baş ağrısı,bilateral headache,R51,head_neck,
ANAMNEZ-SYM-0254,inatçı ateş,Persistent fever,R50.1,constitutional,
ANAMNEZ-SYM-0255,intihar düşüncesi,Suicidal ideation,R45.81,psychiatric,
ANAMNEZ-SYM-0256,ishal,Diarrhea,K59.1,gastrointestinal,
ANAMNEZ-SYM-0257,istemsiz hareketler,Involuntary movements,R25.8,neurological,
ANAMNEZ-SYM-0258,istemsiz kilo alımı,Unintentional weight gain,R63.5,gastrointestinal,
ANAMNEZ-SYM-0259,istemsiz kilo kaybı,Unintentional weight loss,R63.4,constitutional,
ANAMNEZ-SYM-0260,istirahat göğüs ağrısı,Chest pain at rest,R07.3,cardiovascular,
ANAMNEZ-SYM-0261,istirahatte nefes darlığı,dyspnoea at rest,R06.0,respiratory,
ANAMNEZ-SYM-0262,işitme azlığı,hearing loss,H91.9,ent,
ANAMNEZ-SYM-0263,işitsel halüsinasyon,auditory hallucination,R44.0,ent,
ANAMNEZ-SYM-0264,iştah artışı,Increased appetite / polyphagia,R63.2,constitutional,
ANAMNEZ-SYM-0265,iştahsızlık,Loss of appetite / anorexia,R63.0,constitutional,
ANAMNEZ-SYM-0266,iştahsızlık (emosyonel),Loss of appetite (emotional),R63.0,psychiatric,
ANAMNEZ-SYM-0267,jeneralize ağrı,Generalized pain,R52.9,constitutional,
ANAMNEZ-SYM-0268,jeneralize lenfadenopati,Generalized lymphadenopathy,R59.1,constitutional,
ANAMNEZ-SYM-0269,jeneralize terleme,Generalized hyperhidrosis,R61.1,constitutional,
ANAMNEZ-SYM-0270,jeneralize ödem,Generalized oedema,R60.1,cardiovascular,
ANAMNEZ-SYM-0271,kabuslar,Nightmares,F51.5,psychiatric,
ANAMNEZ-SYM-0272,kabızlık,Constipation,K59.0,gastrointestinal,
ANAMNEZ-SYM-0273,kafa derisi kaşıntısı,scalp itching,L29.8,skin,
ANAMNEZ-SYM-0274,kafa derisinde uyuşma,scalp numbness,R20.0,head_neck,
ANAMNEZ-SYM-0275,kahve telvesi kusma,Coffee-ground emesis,K92.0,gastrointestinal,
ANAMNEZ-SYM-0276,kalp üfürümü,Cardiac murmur,R01.1,cardiovascular,
ANAMNEZ-SYM-0277,kalça ağrısı,hip pain,M25.55,musculoskeletal,
ANAMNEZ-SYM-0278,kalçada tıklama,clicking hip,R29.4,musculoskeletal,
ANAMNEZ-SYM-0279,kanlı balgam (hemoptizi),haemoptysis,R04.2,respiratory,
ANAMNEZ-SYM-0280,kanlı idrar (hematüri),haematuria,R31,genitourinary,
ANAMNEZ-SYM-0281,kanlı ishal,Bloody diarrhea / dysentery,K59.1,gastrointestinal,
ANAMNEZ-SYM-0282,kanlı kusma (hematemez),Hematemesis,K92.0,gastrointestinal,
ANAMNEZ-SYM-0283,kanlı meni (hematospermi),haematospermia,N50.8,genitourinary,
ANAMNEZ-SYM-0284,karın ağrısı,Abdominal pain,R10.4,gastrointestinal,
ANAMNEZ-SYM-0285,karın hassasiyeti,Abdominal tenderness,R10.4,gastrointestinal,
ANAMNEZ-SYM-0286,karın rijiditesi,Abdominal rigidity,R19.3,gastrointestinal,
ANAMNEZ-SYM-0287,karın savunması,Abdominal guarding,R19.3,gastrointestinal,
ANAMNEZ-SYM-0288,karın şişkinliği,Abdominal bloating / distension,R14.0,gastrointestinal,
ANAMNEZ-SYM-0289,karıncalanma,Tingling / paraesthesia,R20.2,neurological,
ANAMNEZ-SYM-0290,karında asit,Ascites,R18,gastrointestinal,
ANAMNEZ-SYM-0291,karında kitle/yumru,Abdominal mass / lump,R19.0,gastrointestinal,
ANAMNEZ-SYM-0292,karında şişlik,Abdominal swelling,R19.0,gastrointestinal,
ANAMNEZ-SYM-0293,kas ağrısı,myalgia,M79.19,musculoskeletal,
ANAMNEZ-SYM-0294,kas güçsüzlüğü,muscle weakness,M62.81,musculoskeletal,
ANAMNEZ-SYM-0295,kas iskelet sistemine ait diğer semptom,other musculoskeletal symptom,R29.89,musculoskeletal,
ANAMNEZ-SYM-0296,kas krampı,muscle cramp,R25.2,musculoskeletal,
ANAMNEZ-SYM-0297,kas seğirmesi / fasikülasyon,Muscle twitching / fasciculation,R25.3,neurological,
ANAMNEZ-SYM-0298,kas spazmı,muscle spasm,R25.2,musculoskeletal,
ANAMNEZ-SYM-0299,kasıkta şişlik (inguinal kitle),inguinal swelling,R59.0,genitourinary,
